Ref Des,Mid X (mm),Mid Y (mm),Rotation,LCSC Part Number
3V3,89.65,97.41,0.00,TPTP20R,TP20R
BOOT_BUTTON,64.03,109.02,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,152.95,4.43,90.00,100nF,EAGLE-LTSPICE_C0402
C10,27.45,108.63,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,96.66,52.54,90.00,CPH3225A,CAPCP3225X100N
C1_BAT,110.45,44.25,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,120.15,28.87,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,128.09,36.27,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,151.03,4.43,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,123.36,53.65,90.00,4.7uF,EAGLE-LTSPICE_C0402
C3,123.41,35.20,90.00,"100uF TANT",RCL_CT3528
C4,93.15,43.59,0.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,151.10,47.57,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,52.41,108.61,270.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,151.48,45.75,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,67.41,108.63,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,82.00,30.53,0.00,10uF,EAGLE-LTSPICE_C0402
C8,92.49,52.23,90.00,100nF,EAGLE-LTSPICE_C0402
C9,17.87,98.83,0.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,23.96,109.02,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,114.04,36.45,0.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,52.21,99.69,90.00,100nF,EAGLE-LTSPICE_C0402
D1,150.78,50.67,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,11.42,6.77,90.00,PGB1010603MR,DIOC1608X36N
D11,20.30,13.47,90.00,PGB1010603MR,DIOC1608X36N
D12,33.88,20.77,90.00,PGB1010603MR,DIOC1608X36N
D2,116.43,56.28,180.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,92.42,36.55,180.00,MBR0530,SOD3716X135N
D4,92.96,30.95,0.00,MBR0530,SOD3716X135N
D5,81.80,39.75,180.00,MBR0530,SOD3716X135N
D6,29.38,7.27,90.00,PGB1010603MR,DIOC1608X36N
D7,88.18,64.18,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,32.56,6.97,90.00,PGB1010603MR,DIOC1608X36N
D9,25.94,7.07,90.00,PGB1010603MR,DIOC1608X36N
EPD_3V3,72.79,31.19,0.00,TPTP20R,TP20R
EPD_3V3_C,64.10,33.41,0.00,TPTP20R,TP20R
EPD_BUSY,2.32,64.49,0.00,TPTP20R,TP20R
EPD_C1,73.89,20.45,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,89.05,22.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,86.21,22.57,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,83.19,22.79,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,69.60,20.05,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,103.89,22.49,90.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,101.31,22.45,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,98.22,22.65,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,95.13,22.65,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,92.14,22.65,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_CS,72.20,14.71,0.00,TPTP20R,TP20R
EPD_DC,3.74,31.89,0.00,TPTP20R,TP20R
EPD_RST,18.45,64.31,0.00,TPTP20R,TP20R
GND,89.42,101.99,0.00,TPTP20R,TP20R
IC1,48.95,99.87,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,119.38,46.09,180.00,XC6220A331MR-G,SOT95P280X120-5N
INT_RTC,15.90,36.31,0.00,TPTP20R,TP20R
J1,90.07,13.67,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,166.26,54.16,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,167.14,19.28,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,8.28,88.90,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,82.97,34.15,0.00,68uH,IND_4828-WE-TPC_WRE
MCP73831,118.11,35.19,270.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
MISO,6.26,64.49,0.00,TPTP20R,TP20R
MOSI,14.18,20.19,0.00,TPTP20R,TP20R
PFMF.050.1,149.74,42.60,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,128.16,45.61,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,78.03,30.16,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,61.33,11.65,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.33,36.71,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,32.69,11.41,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,112.18,36.43,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,147.73,2.87,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,92.85,57.09,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,118.92,40.04,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
